,run_0,run_1,run_2,run_3,run_4
0,0.0,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0
1500,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,1.0
2500,0.0,0.0,0.0,0.0,1.0
3000,0.0,0.0,0.0,0.0,1.0
3500,0.0,0.0,0.0,0.0,1.0
4000,1.0,0.0,0.0,0.0,1.0
4500,1.0,0.0,0.0,0.0,1.0
5000,1.0,0.0,0.0,0.0,1.0
5500,1.0,0.0,0.0,0.0,1.0
6000,1.0,0.0,0.0,0.0,1.0
6500,1.0,0.0,0.0,0.0,1.0
7000,1.0,0.0,0.0,0.0,1.0
7500,1.0,0.0,0.0,0.0,1.0
8000,1.0,0.0,1.0,0.0,1.0
8500,1.0,0.0,1.0,0.0,1.0
9000,1.0,0.0,1.0,0.0,1.0
9500,1.0,0.0,1.0,0.0,1.0
