global_step,return_value
2008,112.4
4016,112.3
6024,117.4
8032,142.0
10040,148.7
12048,133.5
14056,186.0
16064,195.8
18072,182.8
20080,224.8
22088,250.9
24096,272.6
26104,317.4
28112,320.2
30120,398.2
32128,368.2
34136,497.8
36144,417.3
38152,541.9
40160,515.9
42168,477.1
44176,515.5
46184,495.3
48192,563.1
50200,565.8
52208,592.8
54216,641.5
56224,586.1
58232,534.9
60240,619.2
62248,599.8
64256,626.4
66264,648.4
68272,718.3
70280,660.7
72288,694.9
74296,713.1
76304,632.0
78312,699.6
80320,781.7
82328,753.4
84336,693.5
86344,758.4
88352,635.5
90360,885.0
92368,734.7
94376,705.5
96384,831.7
98392,728.5
