global_step,return_value,intrinsic_reward
10160,2.0,0.066027954
20664,2.0,0.18054199
30800,0.0,0.20757839
40824,0.0,0.20422125
51232,1.0,0.13279821
61288,3.0,0.18274367
71376,0.0,0.3442884
81528,0.0,0.30109033
91552,1.0,0.17510101
101728,0.0,0.45678687
111928,2.0,0.5672785
122400,0.0,0.28762096
133080,3.0,0.29052532
143448,3.0,0.30081034
153552,1.0,0.5834347
163592,4.0,0.34942067
173768,3.0,0.20118725
183800,2.0,0.25375146
193864,0.0,0.33177564
204888,2.0,0.1557507
215064,1.0,0.42173332
225288,1.0,0.12572661
236448,0.0,0.22996302
246560,1.0,0.12645322
257048,1.0,0.102455184
267376,5.0,0.21584845
277632,0.0,0.15790656
287864,3.0,0.251324
298016,1.0,0.07164191
308240,2.0,0.24525481
318264,1.0,0.13600492
328800,2.0,0.22222272
339048,0.0,0.097914726
349520,0.0,0.17108503
360928,1.0,0.1640228
372768,0.0,0.11710273
383048,1.0,0.06726691
393392,0.0,0.101616964
403448,3.0,0.086667776
415200,5.0,0.11060653
426376,2.0,0.07291748
438624,1.0,0.14894333
449040,0.0,0.075441055
460360,4.0,0.10836561
471072,1.0,0.10183339
482056,0.0,0.08015318
493088,4.0,0.11446314
503144,0.0,0.057765454
513824,2.0,0.1164484
523880,2.0,0.09007435
534224,2.0,0.10936374
544320,3.0,0.08169888
554536,0.0,0.05043527
565352,0.0,0.122260004
575528,1.0,0.03910833
586320,1.0,0.05663588
596456,2.0,0.13561329
606608,2.0,0.18220606
616744,1.0,0.013967443
627296,2.0,0.14690831
637584,0.0,0.05325708
648184,0.0,0.018953774
658280,1.0,0.1374124
668528,1.0,0.12470909
678720,1.0,0.06801464
689120,0.0,0.045320734
699848,0.0,0.18242353
710216,0.0,0.042637184
720784,1.0,0.033226635
731176,0.0,0.11630903
741200,2.0,0.022434864
751376,2.0,0.036592785
761608,6.0,0.013966057
771856,2.0,0.012209826
782192,4.0,0.012224801
792480,0.0,0.012395883
802488,5.0,0.0023353416
812536,4.0,0.0043049483
822576,1.0,0.07154318
832664,7.0,0.090172954
843184,2.0,0.14579985
853712,4.0,0.06141272
863848,2.0,0.11242032
874072,2.0,0.25794378
884256,3.0,0.083486296
894416,0.0,0.08316348
904656,3.0,0.08305465
915560,8.0,0.109527364
925832,7.0,0.24744236
936544,5.0,0.09943643
946608,9.0,0.12355025
956808,6.0,0.052697107
967344,12.0,0.16182646
978336,6.0,0.2279984
988552,8.0,0.22434884
998608,9.0,0.115473494
1009152,10.0,0.30648527
1020416,7.0,0.083543405
1030512,5.0,0.2792224
1041312,5.0,0.14128646
1051672,8.0,0.036451306
1061888,8.0,0.1960414
1073032,13.0,0.17919867
1083080,6.0,0.04644718
1093456,12.0,0.10014055
1103936,8.0,0.23789361
1114320,8.0,0.14947292
1124712,12.0,0.1250378
1134920,7.0,0.044457242
1145528,10.0,0.067269474
1155672,12.0,0.17402826
1166440,8.0,0.084878094
1176552,17.0,0.104121655
1187040,8.0,0.12981322
1197320,11.0,0.052168027
1207408,4.0,0.0933222
1217768,13.0,0.1563713
1228032,11.0,0.13146003
1238160,7.0,0.1251644
1249120,10.0,0.04705768
1259624,8.0,0.053802043
1270096,2.0,0.077034384
1280968,15.0,0.06350859
1291184,16.0,0.23067236
1301520,17.0,0.07965467
1311896,11.0,0.17225313
1322968,4.0,0.09099255
1333960,11.0,0.16319883
1344312,16.0,0.23902763
1354872,9.0,0.12439442
1365328,5.0,0.21684995
1376440,6.0,0.04811328
1386504,11.0,0.17020269
1396936,6.0,0.20568776
1407024,10.0,0.24074586
1418552,12.0,0.08767107
1428976,11.0,0.18864608
1439656,16.0,0.117988184
1449928,15.0,0.1600547
1460184,9.0,0.062842004
1470728,8.0,0.055105492
1481120,10.0,0.08125602
1491256,9.0,0.109519064
1502104,13.0,0.06749458
1514336,9.0,0.14975078
1525440,4.0,0.043030925
1537160,8.0,0.12027661
1547672,11.0,0.22406021
1558080,12.0,0.12921901
1568384,9.0,0.15311709
1578504,11.0,0.07678476
1588992,13.0,0.10119877
1599792,15.0,0.112660825
1610120,6.0,0.119320646
1620232,9.0,0.08237203
1630744,10.0,0.14236479
1641008,7.0,0.07882193
1651152,9.0,0.14632457
1661512,10.0,0.20237863
1671584,8.0,0.06292961
1682240,12.0,0.06140678
1692664,8.0,0.19053878
1702920,8.0,0.055225585
1712992,3.0,0.05152652
1723232,12.0,0.15481837
1733664,19.0,0.14327855
1743736,7.0,0.036841862
1755376,16.0,0.20179549
1765920,7.0,0.1030314
1776424,9.0,0.045991182
1787088,7.0,0.06679811
1797536,11.0,0.19457215
1808392,10.0,0.08546467
1818584,12.0,0.07252814
1828912,9.0,0.14115235
1839616,10.0,0.11058774
1849752,5.0,0.069977626
1860264,11.0,0.07040858
1870608,14.0,0.12861046
1880640,9.0,0.07152367
1891016,19.0,0.035893627
1901120,8.0,0.053603474
1911264,18.0,0.09307404
1921752,12.0,0.05073595
1931984,9.0,0.11790812
1942912,8.0,0.09659216
1953840,16.0,0.041562
1963896,9.0,0.1127543
1975328,11.0,0.0899733
1985504,15.0,0.03804071
1995768,17.0,0.26011854
2005992,8.0,0.03417342
2016312,8.0,0.043779373
2026656,17.0,0.039001457
2037312,12.0,0.044244107
2047856,14.0,0.09336832
2058144,12.0,0.1133413
2068432,17.0,0.14522135
2079592,12.0,0.14379548
2090424,7.0,0.042600952
2100872,13.0,0.19844857
2111584,19.0,0.073817745
2121600,20.0,0.11679602
2132040,13.0,0.036724627
2142216,10.0,0.15196425
2153184,12.0,0.0440053
2163400,12.0,0.12821107
2173480,27.0,0.056113996
2184048,12.0,0.033543162
2194392,13.0,0.096133366
2204976,15.0,0.13505435
2215976,17.0,0.05948153
2226016,6.0,0.12222593
2236136,14.0,0.13736472
2247480,13.0,0.058250472
2257856,18.0,0.12330394
2268672,14.0,0.14369082
2278944,16.0,0.12326087
2289072,8.0,0.15028332
2299744,29.0,0.08462315
2309888,12.0,0.070654556
2320888,12.0,0.036911376
2331696,13.0,0.086306676
2341752,23.0,0.085863724
2352744,7.0,0.076178126
2363448,6.0,0.03318177
2373872,9.0,0.058800217
2385040,15.0,0.111693695
2395528,7.0,0.116683945
2407880,12.0,0.029143495
2418280,13.0,0.058821484
2429272,14.0,0.14319028
2441664,21.0,0.06990078
2452160,14.0,0.14431453
2462376,12.0,0.040687058
2473408,17.0,0.01960267
2483800,20.0,0.09154251
2494696,13.0,0.08282518
2505240,12.0,0.112813644
2515584,14.0,0.060604647
2527240,20.0,0.09610391
2537360,9.0,0.111330405
2549048,14.0,0.13884509
2559256,30.0,0.09413679
2570432,7.0,0.09172478
2580976,13.0,0.17036384
2591464,10.0,0.11046085
2602600,14.0,0.15533596
2612616,12.0,0.076570526
2623408,12.0,0.12453272
2633832,14.0,0.05279588
2643904,16.0,0.029222712
2654320,16.0,0.1495341
2664728,11.0,0.08676476
2675848,32.0,0.09432554
2685920,13.0,0.07932197
2696816,12.0,0.07461242
2707488,13.0,0.06773914
2718064,15.0,0.09135248
2728976,20.0,0.10615981
2739040,13.0,0.18556212
2749776,18.0,0.25476497
2760032,16.0,0.045738038
2770592,10.0,0.1029151
2780648,17.0,0.06362295
2791096,10.0,0.07011068
2802216,22.0,0.086505786
2812512,21.0,0.13955833
2822872,19.0,0.13005671
2832928,12.0,0.06567755
2843200,19.0,0.07940768
2853456,24.0,0.045692474
2863752,17.0,0.07543142
2873960,14.0,0.05695183
2884976,6.0,0.058502376
2895224,8.0,0.083859324
2905880,17.0,0.07053554
2916224,11.0,0.08033575
2926280,15.0,0.084383875
2936656,15.0,0.04839758
2946776,9.0,0.073735416
2957928,17.0,0.15505631
2968080,13.0,0.024743948
2979064,19.0,0.10359104
2989536,31.0,0.0873994
3000048,7.0,0.068046495
3010248,3.0,0.038017396
3020824,17.0,0.03180869
3031728,12.0,0.038906
3042208,21.0,0.04581316
3052584,21.0,0.08011404
3063096,18.0,0.04208695
3073816,14.0,0.08778272
3084120,18.0,0.097742155
3094416,21.0,0.021473583
3104480,10.0,0.12249696
3114624,12.0,0.059177995
3125080,16.0,0.046503693
3135616,15.0,0.04862331
3145712,13.0,0.047205865
3156400,27.0,0.13949224
3166824,23.0,0.05067584
3178488,21.0,0.053302582
3188568,20.0,0.067831114
3199000,16.0,0.042550933
3210160,20.0,0.10626759
3220736,6.0,0.02690877
3231048,20.0,0.069049135
3241744,24.0,0.11095708
3251760,9.0,0.10302523
3262208,17.0,0.07936741
3273904,9.0,0.08820641
3284536,10.0,0.0903279
3295160,28.0,0.05792457
3305680,16.0,0.09929795
3316504,26.0,0.08339298
3327104,12.0,0.0542888
3337328,13.0,0.15899727
3347568,19.0,0.12101847
3358200,16.0,0.057776697
3369072,17.0,0.07188654
3379576,10.0,0.04951489
3390648,11.0,0.038293127
3400992,25.0,0.092757255
3411664,29.0,0.060277283
3422688,15.0,0.059596054
3433280,16.0,0.03122276
3444368,41.0,0.14148244
3454856,14.0,0.0627257
3465360,26.0,0.054367036
3476120,17.0,0.069758326
3486368,12.0,0.1098014
3497064,21.0,0.11374551
3507696,18.0,0.03607728
3518552,31.0,0.060349695
3528840,23.0,0.05016703
3539480,9.0,0.1084138
3549536,35.0,0.013264377
3560128,24.0,0.082104966
3570672,14.0,0.08062616
3581128,34.0,0.12578253
3592528,35.0,0.074477136
3603144,7.0,0.017679496
3613536,24.0,0.10255967
3623560,33.0,0.12611222
3633624,14.0,0.020783694
3644336,40.0,0.0698843
3654400,18.0,0.08393076
3664896,24.0,0.01746713
3675488,48.0,0.12078021
3687296,25.0,0.023914654
3697616,13.0,0.038207613
3708880,15.0,0.115774624
3719312,13.0,0.0886749
3729928,17.0,0.06398889
3740376,11.0,0.068118736
3751016,25.0,0.072496265
3761320,37.0,0.022675162
3771920,24.0,0.025706546
3782752,17.0,0.042310465
3792864,26.0,0.08262871
3804384,8.0,0.037923776
3814968,14.0,0.040478628
3827024,28.0,0.13506013
3838624,14.0,0.07231215
3848856,42.0,0.19356847
3859208,22.0,0.088478714
3871040,14.0,0.096595936
3881128,26.0,0.12982883
3891760,18.0,0.05828415
3902152,40.0,0.03427539
3912432,14.0,0.14853632
3922600,7.0,0.045984864
3933672,19.0,0.04250754
3945528,24.0,0.12828954
3955912,23.0,0.039334767
3967272,45.0,0.08969699
3979048,16.0,0.025348468
3989200,11.0,0.05020775
3999408,32.0,0.10718723
4009920,35.0,0.039436247
4020608,25.0,0.03984175
4030728,32.0,0.018328289
4040896,18.0,0.04206599
4051368,14.0,0.01339011
4064000,7.0,0.08288865
4076120,52.0,0.096549526
4086784,6.0,0.054798923
4096920,12.0,0.12502721
4107304,30.0,0.101288915
4117984,17.0,0.09599345
4131096,20.0,0.07292458
4142200,25.0,0.09089626
4153360,23.0,0.04238051
4163408,34.0,0.10234766
4173752,43.0,0.02389419
4184184,36.0,0.09213229
4194296,36.0,0.054713678
4204424,12.0,0.02705089
4214464,13.0,0.03479844
4224720,16.0,0.021876045
4235040,28.0,0.09038025
4246248,15.0,0.096601024
4256568,40.0,0.07982808
4266968,25.0,0.039399922
4277200,24.0,0.12966229
4288120,12.0,0.052288666
4299432,9.0,0.078000836
4310704,19.0,0.049600326
4321632,23.0,0.037465975
4332632,22.0,0.037513576
4342824,15.0,0.050531812
4353336,10.0,0.048225507
4364448,23.0,0.113007635
4374856,7.0,0.10882157
4384888,34.0,0.049606316
4395544,18.0,0.05765364
4406256,19.0,0.086808495
4416344,32.0,0.036978394
4426776,54.0,0.050630674
4437088,30.0,0.069800206
4447896,27.0,0.05054223
4457944,13.0,0.073525734
4468704,11.0,0.13641365
4478776,29.0,0.02923918
4490728,22.0,0.10438965
4501440,30.0,0.15721309
4511616,10.0,0.100299105
4521928,8.0,0.03675124
4533192,25.0,0.18625659
4543712,36.0,0.11466534
4554184,32.0,0.06359111
4564320,10.0,0.06068585
4575824,16.0,0.1861493
4587264,25.0,0.051577784
4598232,36.0,0.16626203
4609032,18.0,0.12544216
4619912,15.0,0.076018065
4629968,21.0,0.022620868
4640184,31.0,0.07675232
4651040,24.0,0.06494101
4661480,47.0,0.0719579
4671680,26.0,0.089018
4682000,36.0,0.052205913
4692008,13.0,0.04089912
4702040,18.0,0.13429245
4712880,10.0,0.107652634
4723280,28.0,0.03602276
4733400,21.0,0.079457566
4744080,27.0,0.037152544
4754480,8.0,0.058613777
4764664,17.0,0.09308336
4774688,28.0,0.08951003
4784744,21.0,0.060948007
4795176,7.0,0.12878744
4806112,9.0,0.05038309
4816176,20.0,0.034590565
4828344,55.0,0.06930904
4838392,33.0,0.10862347
4848600,14.0,0.12865159
4858608,21.0,0.0780776
4869400,8.0,0.16886732
4880480,22.0,0.15593714
4890520,28.0,0.0737361
4901000,7.0,0.124379545
4911224,14.0,0.08579004
4921632,5.0,0.12539066
4931912,33.0,0.039245762
4942352,10.0,0.0554518
4953064,33.0,0.06051454
4963208,6.0,0.0741928
4974024,12.0,0.034515012
4985240,34.0,0.10911173
4996152,10.0,0.03641823
5006288,23.0,0.059532613
5016320,11.0,0.1144276
5028632,18.0,0.104990356
5039648,14.0,0.09925998
5049768,18.0,0.054593187
5060200,12.0,0.040592484
5070352,15.0,0.042627595
5080576,47.0,0.11697838
5092240,21.0,0.055077888
5104288,14.0,0.0942094
5116312,50.0,0.10041484
5126528,8.0,0.085458346
5137344,37.0,0.08663012
5147520,28.0,0.059459276
