global_step,return_value
2008,110.3
4016,128.2
6024,126.7
8032,138.9
10040,145.1
12048,154.7
14056,153.5
16064,171.8
18072,208.6
20080,228.8
22088,237.3
24096,346.1
26104,387.7
28112,390.7
30120,420.3
32128,418.4
34136,414.3
36144,448.4
38152,508.9
40160,540.6
42168,556.3
44176,571.3
46184,562.0
48192,549.1
50200,605.6
52208,562.4
54216,586.2
56224,684.9
58232,557.9
60240,572.1
62248,704.6
64256,680.8
66264,670.3
68272,673.3
70280,627.5
72288,678.6
74296,672.0
76304,700.3
78312,711.5
80320,676.8
82328,669.1
84336,764.3
86344,808.9
88352,643.3
90360,871.4
92368,716.9
94376,658.1
96384,707.0
98392,679.0
