global_step,return_value,intrinsic_reward
10024,4.0,22.16792
20424,2.0,24.283293
30536,2.0,25.818253
40560,1.0,9.203594
50960,2.0,15.860395
61016,1.0,9.289178
71064,2.0,7.936327
81400,0.0,5.6765347
91456,3.0,6.079583
101760,0.0,8.146379
111784,1.0,5.693364
122032,0.0,9.641819
132176,0.0,2.7462192
142192,3.0,5.5788536
152232,2.0,3.2137783
162368,3.0,2.047101
172552,4.0,3.4752932
182824,0.0,1.477754
192872,3.0,2.3966463
202912,3.0,2.965306
213000,2.0,2.000579
223192,3.0,3.0272717
233352,2.0,6.864415
243384,3.0,8.931412
253472,5.0,6.9384055
263664,6.0,3.8552337
274312,2.0,8.264706
284400,1.0,8.834451
294728,4.0,8.477287
304856,8.0,13.77692
315456,8.0,7.9905763
325480,6.0,7.366739
335512,5.0,11.506365
345720,2.0,10.052819
355728,7.0,5.7637606
365896,0.0,5.8271756
375952,4.0,5.8136673
386000,5.0,12.747025
396024,5.0,10.604508
406352,6.0,6.408656
416576,3.0,11.051794
427168,9.0,6.0873394
438736,8.0,8.635857
449816,7.0,7.828495
460120,2.0,10.762449
471576,9.0,10.351773
482128,6.0,12.682936
492480,9.0,16.845957
502544,9.0,10.210775
512768,7.0,15.2703705
523216,13.0,17.274197
533904,10.0,11.560341
544328,7.0,13.903524
554384,9.0,11.740425
564768,7.0,13.926204
575704,11.0,10.663621
585976,8.0,7.684413
596280,11.0,11.010758
606392,7.0,9.841526
616544,11.0,7.5205293
628008,8.0,11.474066
638560,6.0,11.195616
649184,9.0,9.306526
659808,10.0,7.784486
670640,10.0,14.564629
681264,5.0,7.7993116
692232,8.0,5.6614103
703512,6.0,9.096353
713888,9.0,8.54808
724392,9.0,11.125092
734416,11.0,12.040651
744968,20.0,8.051611
755112,9.0,7.5413275
765128,9.0,8.533953
775232,11.0,7.028245
785512,9.0,8.170099
795952,13.0,9.184889
806032,19.0,12.223684
816248,16.0,8.676692
826368,19.0,15.496887
837576,13.0,13.387762
847672,10.0,13.344438
857800,12.0,11.333979
867816,4.0,7.938012
878680,10.0,10.796255
889728,12.0,10.61499
899864,5.0,8.579262
910480,11.0,9.889261
920944,6.0,7.820218
931464,19.0,10.746728
942584,23.0,16.18422
952856,7.0,7.648368
962936,5.0,8.4195175
974432,10.0,12.14529
984960,11.0,8.324182
995344,8.0,9.872468
1005656,2.0,10.029391
1016376,17.0,6.917263
1026840,9.0,6.5447865
1036992,13.0,12.648853
1047952,19.0,13.2797985
1058216,10.0,5.642181
1068984,7.0,8.725065
1079120,9.0,9.048219
1089536,8.0,10.616533
1099672,12.0,9.37841
1109728,16.0,9.1986885
1119784,8.0,8.748095
1130736,10.0,7.962117
1140976,15.0,12.1828985
1151712,13.0,16.087332
1161760,18.0,6.4372053
1171768,6.0,10.799555
1182376,16.0,11.753279
1192584,4.0,6.446196
1203064,13.0,12.351261
1214472,8.0,5.458275
1224504,16.0,8.952932
1235000,15.0,7.0193195
1245096,11.0,9.081758
1255800,11.0,6.9916105
1265888,15.0,9.29731
1275944,15.0,7.297667
1286800,14.0,16.522339
1297448,14.0,6.6705723
1307968,9.0,7.787944
1318368,11.0,7.723295
1328968,10.0,7.5215616
1339000,15.0,8.133352
1349328,23.0,11.170788
1359464,6.0,6.032846
1369912,16.0,6.8711405
1380000,17.0,10.435221
1390048,9.0,5.6633215
1400600,10.0,10.213496
1410608,13.0,5.1959715
1420968,11.0,8.094125
1431728,21.0,10.342417
1441904,4.0,7.9751234
1452568,13.0,9.817696
1462576,11.0,7.8056097
1473168,12.0,5.6123686
1483264,15.0,7.6901536
1494112,19.0,6.8592763
1504264,15.0,7.2252774
1514432,12.0,11.448199
1525416,7.0,7.158586
1535448,15.0,7.706804
1545616,19.0,10.827639
1555672,13.0,7.529154
1565824,17.0,7.2188525
1576312,7.0,6.9917746
1587032,14.0,9.635337
1597528,12.0,5.072048
1608232,15.0,7.8121204
1620152,25.0,8.741552
1630384,16.0,11.886215
1640552,14.0,7.0538673
1650792,12.0,9.422161
1661720,19.0,8.325135
1671824,14.0,9.115094
1682592,11.0,8.615918
1692664,12.0,7.0356145
1703784,14.0,12.433099
1715456,19.0,11.213665
1725536,13.0,8.830653
1736336,10.0,7.19545
1747040,10.0,5.1743336
1757352,31.0,10.671383
1767584,28.0,4.8803453
1778152,16.0,4.68863
1789168,6.0,7.7543263
1800232,10.0,6.2351403
1810424,10.0,8.1887455
1820648,8.0,8.637628
1830824,13.0,7.519761
1840944,14.0,7.254942
1851536,10.0,5.495926
1862752,29.0,6.1426735
1873504,20.0,8.280286
1883520,17.0,9.081005
1893968,14.0,11.804903
1905904,18.0,7.768043
1915928,9.0,5.6979856
1926160,15.0,6.041606
1937152,20.0,8.158083
1947544,22.0,8.928725
1957656,21.0,7.530285
1967984,15.0,6.854463
1978032,16.0,6.856479
1988120,7.0,7.7519703
1998616,18.0,10.199617
2008728,15.0,9.094828
2020696,9.0,9.438603
2030768,14.0,5.5726633
2041040,14.0,6.949128
2051640,17.0,9.41482
2062488,12.0,6.900077
2073136,12.0,6.783204
2083312,13.0,6.61943
2093944,10.0,10.567015
2104360,14.0,6.23287
2114736,21.0,6.1480927
2125016,16.0,9.774345
2136000,21.0,8.938887
2146496,20.0,10.722889
2156576,13.0,6.605918
2167920,16.0,8.875521
2179096,18.0,7.6324615
2189728,20.0,10.189225
2200936,16.0,9.009372
2211728,18.0,12.526793
2221848,27.0,7.7782803
2232496,17.0,10.088395
2242576,12.0,5.702052
2254016,20.0,7.4125566
2265720,18.0,11.06016
2275824,26.0,9.140528
2286008,10.0,10.221037
2296424,16.0,10.347792
2306912,20.0,9.35351
2317888,25.0,9.09706
2329248,27.0,9.7749
2339336,20.0,6.991624
2349360,21.0,9.6615505
2360848,18.0,9.851027
2372616,10.0,9.357906
2382696,21.0,9.817277
2392784,14.0,13.321607
2403392,21.0,10.165758
2413616,15.0,5.206823
2423896,13.0,7.0995545
2434928,26.0,7.0475974
2445648,12.0,6.155533
2456672,19.0,8.743277
2467000,31.0,13.802192
2477672,17.0,10.817304
2488120,21.0,7.4003153
2498936,19.0,10.72891
2509360,21.0,10.206938
2519608,11.0,9.908928
2531696,15.0,10.829763
2541984,17.0,8.407703
2552408,24.0,7.284039
2562920,4.0,7.5653067
2573296,21.0,12.020002
2584464,25.0,10.79446
2595032,26.0,12.106245
2605104,18.0,7.8658
2615280,14.0,9.043068
2625408,24.0,5.73918
2635480,27.0,11.244741
2645544,36.0,11.973925
2656504,21.0,9.239046
2667624,25.0,10.553075
2679512,34.0,10.005788
2689720,34.0,11.027252
2701848,22.0,10.764029
2713360,14.0,7.5287523
2723816,18.0,8.245445
2734024,11.0,12.194596
2746008,32.0,15.288309
2756856,10.0,10.374583
2767064,16.0,12.443842
2778232,20.0,8.615533
2788544,9.0,5.7718067
2799128,29.0,8.284951
2809264,25.0,11.077828
2820152,27.0,6.3540936
2830896,25.0,11.270392
2841136,4.0,7.3782673
2853984,12.0,7.0212665
2864728,20.0,13.491509
2876520,26.0,11.765415
2886928,14.0,9.429565
2898176,25.0,11.746281
2908240,13.0,9.272656
2919584,15.0,7.6649904
2930192,32.0,10.465923
2941408,30.0,12.589546
2953288,21.0,14.330436
2963848,29.0,9.492646
2974568,18.0,15.515263
2985272,10.0,8.179778
2995424,16.0,8.140915
3006832,28.0,12.252941
3018352,4.0,9.378005
3030000,16.0,10.608403
3041136,14.0,6.454896
3051360,28.0,6.935652
3063168,15.0,10.477396
3075704,36.0,9.610612
3085968,23.0,10.494694
3096584,12.0,7.1606703
3107096,26.0,10.798153
3120088,19.0,9.019418
3131968,25.0,5.897581
3142416,21.0,5.6720514
3152720,23.0,9.97496
3163200,9.0,9.579629
3173672,13.0,9.163794
3183816,25.0,7.2698526
3194848,39.0,9.268978
3205296,31.0,8.337935
3216856,35.0,17.417461
3227192,28.0,6.87004
3238080,30.0,8.869507
3248440,22.0,7.278378
3259264,26.0,13.049372
3270152,16.0,7.176709
3280208,15.0,7.401121
3291288,16.0,8.838881
3301648,27.0,6.1600733
3312384,26.0,10.861198
3322448,24.0,7.3360887
3334216,20.0,6.93896
3344656,11.0,10.338615
3356872,27.0,11.536249
3368376,17.0,9.489792
3379032,22.0,17.330315
3389656,23.0,7.3117456
3400096,32.0,9.509229
3410344,19.0,7.0742893
3421144,15.0,12.036176
3432368,19.0,9.510449
3442440,26.0,9.865901
3454888,31.0,14.933885
3465480,11.0,6.7837305
3476008,36.0,12.866377
3486624,31.0,11.077469
3497616,23.0,16.133047
3508048,15.0,8.784956
3518416,34.0,13.354317
3528688,30.0,9.9411545
3539208,20.0,10.7238245
3550040,33.0,12.209143
3560688,26.0,9.491163
3571928,25.0,6.9450655
3582320,22.0,6.7763414
3594976,25.0,9.536395
3605288,16.0,7.034578
3615296,29.0,14.525714
3625536,18.0,8.216802
3637920,23.0,11.422367
3649232,32.0,16.26774
3659632,17.0,8.014425
3670232,26.0,10.368144
3680784,20.0,6.0497017
3690792,21.0,8.969698
3701032,24.0,4.8696194
3711272,15.0,6.4302464
3721952,14.0,9.284834
3732776,34.0,11.680494
3742864,37.0,10.506499
3752968,23.0,5.553976
3764904,14.0,8.452744
3774960,20.0,7.237176
3786272,26.0,11.083284
3796688,27.0,7.104625
3809488,29.0,9.098972
3819704,25.0,7.3798933
3829712,16.0,8.046392
3839880,20.0,11.178393
3851408,24.0,6.2008295
3862096,24.0,6.1058764
3872984,39.0,9.466551
3884760,24.0,15.945948
3894840,18.0,6.42446
3905360,25.0,7.6348057
3916376,38.0,11.711568
3927848,23.0,8.70467
3938336,26.0,8.758972
3948584,17.0,5.1467505
3958792,29.0,6.050007
3970496,25.0,8.863838
3980824,33.0,6.2075634
3992736,23.0,8.720485
4002744,27.0,7.8273854
4013328,14.0,11.290443
4023944,33.0,6.9313283
4034112,14.0,9.331356
4044712,20.0,6.953472
4055112,22.0,8.060205
4065184,11.0,8.398428
4075312,9.0,6.5706196
4085376,26.0,8.017534
4095560,23.0,11.15674
4107176,24.0,13.056166
4117520,23.0,7.715209
4127824,13.0,5.814727
4138096,29.0,9.294125
4149248,24.0,7.8901124
4159264,39.0,9.839039
4170016,18.0,6.6445537
4180440,26.0,9.779857
4191440,30.0,9.7439375
4202480,16.0,7.436598
4212720,30.0,11.8862705
4222920,22.0,11.465824
4233760,27.0,7.7779527
4244456,28.0,9.808769
4254928,23.0,9.893087
4265752,40.0,10.316158
4276496,28.0,12.465214
4287144,30.0,8.83322
4298648,23.0,6.8168054
4309248,28.0,9.880824
4319896,40.0,12.069674
4330336,28.0,8.260572
4340568,10.0,6.0008945
4351848,21.0,5.3850164
4362464,36.0,7.5116386
4373872,22.0,6.612349
4384792,20.0,8.944187
4396264,30.0,8.88031
4406400,30.0,7.911979
4418200,30.0,7.1483173
4429152,23.0,7.561121
4439704,35.0,11.161549
4450096,26.0,10.180605
4460560,30.0,8.168852
4470752,35.0,9.579397
4483560,28.0,11.791473
4494680,38.0,11.596134
4505104,20.0,9.623196
4516600,42.0,12.352236
4527040,18.0,10.590382
4537744,26.0,7.6093326
4548024,31.0,9.511092
4558800,36.0,11.95188
4569816,27.0,9.12957
4580552,21.0,6.5268564
4592872,18.0,7.706378
4604240,27.0,7.988283
4615184,15.0,6.9300194
4625416,32.0,8.475246
4635840,19.0,5.5354724
4646528,51.0,13.872645
4658112,6.0,6.3532934
4668168,14.0,5.92381
4679368,17.0,8.415222
4690224,32.0,8.367495
4700760,16.0,9.3085
4711728,10.0,7.434218
4721984,38.0,12.044888
4732528,29.0,9.2469635
4743592,40.0,9.6593
4753648,23.0,8.671127
4766520,32.0,9.614282
4777224,46.0,11.19159
4787808,19.0,6.610237
4797920,22.0,8.896141
4808504,25.0,9.490247
4819008,28.0,9.2102375
4830160,17.0,11.298727
4840224,35.0,13.948359
4852456,33.0,12.8465
4864512,43.0,10.458324
4874568,36.0,10.924771
4885392,27.0,10.167587
4895480,19.0,6.2349687
4905600,52.0,10.138334
4916800,46.0,11.063786
4927120,31.0,8.124901
4937152,41.0,8.075269
4948312,35.0,9.360199
4960784,25.0,9.555008
4971576,22.0,8.257149
4982104,44.0,7.075383
4994512,43.0,10.693531
5006656,21.0,8.860411
5016880,17.0,7.6737976
5027056,16.0,7.127805
5037952,54.0,17.029139
5049416,17.0,10.872769
5060112,32.0,8.361619
5071832,42.0,14.182245
5082120,25.0,7.8352776
5093224,30.0,15.467571
5103304,32.0,11.2589
5113832,51.0,11.624362
5124840,14.0,6.41893
5134952,35.0,9.618288
5144960,20.0,11.33959
5156408,27.0,13.512951
5166840,34.0,12.334099
5176992,30.0,8.4474125
5187592,28.0,11.904064
5198096,30.0,12.220428
5208264,28.0,7.8472548
5218952,53.0,14.997383
5231160,25.0,10.756588
5242240,41.0,9.06181
5253096,27.0,14.429857
5264536,27.0,12.788336
5274616,70.0,16.783115
5285616,52.0,10.04789
5298344,48.0,14.741783
5309544,34.0,14.566444
5320952,38.0,17.559074
5331704,30.0,12.962662
5341848,30.0,11.245607
5351896,23.0,9.368674
5362056,38.0,9.614353
5372232,48.0,8.337425
5382648,21.0,7.6473904
5393144,34.0,10.610228
5403800,46.0,10.971644
5414904,34.0,10.823759
5425240,40.0,13.111333
5435328,23.0,13.900496
5447960,26.0,11.199092
5458456,21.0,10.30475
5469312,43.0,10.240856
5479904,35.0,7.8934646
5490352,31.0,14.063665
5501704,25.0,8.271821
5512184,19.0,10.272377
5522520,37.0,10.576767
5532888,21.0,11.235709
5543808,22.0,6.571586
5555544,25.0,11.1152725
