global_step,return_value
2008,92.0
4016,116.3
6024,117.3
8032,121.6
10040,137.8
12048,141.1
14056,166.6
16064,178.1
18072,195.2
20080,225.7
22088,229.5
24096,225.6
26104,310.6
28112,367.3
30120,402.4
32128,403.6
34136,505.6
36144,449.5
38152,515.6
40160,556.7
42168,559.9
44176,548.6
46184,627.9
48192,586.4
50200,540.3
52208,600.3
54216,560.2
56224,680.3
58232,612.2
60240,633.4
62248,698.9
64256,720.2
66264,766.7
68272,628.0
70280,710.2
72288,650.9
74296,683.5
76304,680.4
78312,700.2
80320,758.7
82328,650.2
84336,727.5
86344,760.8
88352,780.2
90360,656.2
92368,702.4
94376,828.6
96384,747.2
98392,769.6
