global_step,return_value
10248,0.0
20256,1.0
30360,2.0
40736,1.0
50760,4.0
60856,1.0
70984,2.0
81000,1.0
91344,0.0
101584,2.0
111752,0.0
122176,0.0
132416,2.0
142448,2.0
152512,1.0
162600,1.0
172640,1.0
182736,3.0
193192,3.0
203200,2.0
213312,2.0
223440,2.0
233728,4.0
244008,4.0
254048,4.0
264480,5.0
274504,4.0
284664,6.0
295272,7.0
306056,3.0
317072,7.0
327720,5.0
337904,7.0
347960,1.0
358040,2.0
368288,2.0
378320,7.0
388672,8.0
399024,7.0
409256,9.0
419792,1.0
429872,2.0
440512,6.0
450792,7.0
461160,8.0
471880,3.0
482248,6.0
492776,8.0
502816,6.0
513464,7.0
523824,10.0
533968,7.0
544344,8.0
554480,9.0
564808,6.0
575312,8.0
585720,6.0
596408,5.0
606480,6.0
616744,9.0
627280,9.0
637976,6.0
648792,11.0
658968,5.0
669168,7.0
679760,5.0
689776,12.0
700112,8.0
710944,7.0
721040,9.0
731080,6.0
741128,11.0
751400,7.0
761704,8.0
772032,5.0
782464,7.0
792824,6.0
803072,8.0
813152,8.0
823552,7.0
833600,8.0
844288,19.0
854584,8.0
864648,10.0
875520,11.0
885624,9.0
895680,4.0
905744,12.0
916008,10.0
926456,8.0
936672,9.0
946968,16.0
957488,7.0
968792,19.0
978824,9.0
990096,10.0
1001232,18.0
1011568,14.0
1022056,22.0
1032248,7.0
1042760,10.0
1053072,13.0
1064048,13.0
1074776,14.0
1085544,13.0
1096224,12.0
1106512,19.0
1117368,12.0
1127952,10.0
1138096,14.0
1148672,10.0
1159136,8.0
1169424,14.0
1179456,20.0
1190104,21.0
1200136,14.0
1211344,10.0
1221472,13.0
1231728,12.0
1243064,14.0
1253888,14.0
1265176,19.0
1275432,16.0
1285464,14.0
1295608,9.0
1305904,22.0
1316224,12.0
1326584,10.0
1337160,17.0
1347184,30.0
1357280,10.0
1367856,13.0
1378264,13.0
1388512,13.0
1399032,11.0
1410368,11.0
1420464,14.0
1431896,4.0
1441904,24.0
1452912,13.0
1463512,18.0
1473952,13.0
1484208,6.0
1494608,13.0
1504736,10.0
1514880,14.0
1525008,23.0
1535328,19.0
1546728,17.0
1557224,6.0
1567360,16.0
1577888,10.0
1587992,14.0
1599360,15.0
1609936,22.0
1620040,10.0
1630424,17.0
1640984,19.0
1651208,14.0
1661816,13.0
1673184,4.0
1684728,14.0
1694752,0.0
1704824,17.0
1715192,12.0
1725208,14.0
1735480,10.0
1745568,11.0
1755832,16.0
1766424,15.0
1777264,20.0
1787520,13.0
1798384,10.0
1808712,12.0
1818736,13.0
1828792,13.0
1839368,18.0
1850032,19.0
1860720,20.0
1871152,11.0
1881576,15.0
1892112,12.0
1902480,22.0
1912664,11.0
1923464,12.0
1933592,15.0
1944208,7.0
1954520,13.0
1965712,18.0
1976000,9.0
1987144,16.0
1997448,13.0
2007864,14.0
2018488,21.0
2028648,16.0
2038920,6.0
2049040,12.0
2059088,9.0
2070088,16.0
2080272,9.0
2091008,11.0
2101944,12.0
2112640,16.0
2123504,17.0
2134216,19.0
2144272,13.0
2154480,12.0
2164992,14.0
2175376,12.0
2186344,12.0
2196880,27.0
2207896,17.0
2218184,7.0
2228592,12.0
2239024,11.0
2249784,18.0
2259888,7.0
2271072,16.0
2281320,22.0
2291456,19.0
2302008,11.0
2312384,15.0
2322480,8.0
2332608,16.0
2343808,15.0
2354368,10.0
2365000,15.0
2375520,11.0
2385688,25.0
2396320,26.0
2406904,12.0
2417056,17.0
2427664,13.0
2437824,26.0
2449808,22.0
2459952,15.0
2470232,19.0
2481304,16.0
2491392,11.0
2501544,2.0
2513104,16.0
2523600,20.0
2534328,16.0
2544816,14.0
2555304,33.0
2566272,9.0
2576784,14.0
2586944,14.0
2597464,12.0
2608064,21.0
2618864,16.0
2630912,17.0
2641336,21.0
2651872,2.0
2663024,19.0
2674488,17.0
2684640,14.0
2695624,17.0
2706032,7.0
2717192,19.0
2727824,27.0
2738216,15.0
2748408,26.0
2758520,18.0
2769488,19.0
2780152,22.0
2790360,13.0
2801528,9.0
2811968,7.0
2822752,14.0
2832888,12.0
2843064,21.0
2853656,20.0
2864008,12.0
2875120,16.0
2885424,24.0
2895536,28.0
2906200,16.0
2918496,24.0
2928632,13.0
2938840,10.0
2949440,6.0
2959712,15.0
2970600,22.0
2980648,12.0
2990920,14.0
3000928,14.0
3010936,16.0
3021312,19.0
3031536,20.0
3042560,9.0
3052632,17.0
3063440,20.0
3074112,6.0
3084968,21.0
3095064,20.0
3105760,24.0
3115768,26.0
3125944,19.0
3136392,13.0
3146680,17.0
3156864,16.0
3168496,10.0
3181120,23.0
3191448,27.0
3203088,16.0
3214416,20.0
3226672,22.0
3236792,7.0
3246856,26.0
3257456,25.0
3268256,20.0
3279376,11.0
3289536,15.0
3300168,26.0
3310840,30.0
3322224,9.0
3332304,20.0
3342312,22.0
3353024,22.0
3363040,20.0
3373160,27.0
3383576,11.0
3393696,27.0
3404176,16.0
3414328,20.0
3424440,28.0
3434880,10.0
3445592,16.0
3456232,17.0
3466328,20.0
3476448,37.0
3486864,29.0
3496872,3.0
3507336,18.0
3517408,30.0
3529216,8.0
3539904,40.0
3551168,11.0
3562632,13.0
3572672,26.0
3582856,16.0
3593344,9.0
3603536,17.0
3615144,30.0
3625200,9.0
3635560,28.0
3645856,23.0
3656928,18.0
3667984,34.0
3679584,22.0
3689792,26.0
3700760,32.0
3711144,39.0
3721400,13.0
3731680,21.0
3741944,7.0
3753384,13.0
3763704,25.0
3774280,29.0
3785808,28.0
3795984,13.0
3807648,25.0
3818216,21.0
3828328,39.0
3838624,26.0
3848784,29.0
3859224,21.0
3869296,12.0
3879696,22.0
3889816,26.0
3901032,36.0
3913352,38.0
3924536,15.0
3935512,17.0
3945680,30.0
3956416,16.0
3966912,53.0
3978272,30.0
3988384,40.0
3999976,26.0
4010008,30.0
4020280,12.0
4030856,32.0
4041816,27.0
4052304,30.0
4064640,14.0
4075992,23.0
4086208,41.0
4097880,21.0
4110024,15.0
4120392,17.0
4131768,17.0
4141976,15.0
4152624,28.0
4164584,29.0
4174712,30.0
4186064,14.0
4196232,40.0
4207032,35.0
4217808,51.0
4228968,22.0
4240848,65.0
4252312,8.0
4263632,27.0
4274216,31.0
4285032,16.0
4295184,23.0
4307640,13.0
4318128,31.0
4328424,44.0
4338448,22.0
4348592,19.0
4359424,23.0
4369752,5.0
4382032,19.0
4393512,22.0
4403720,30.0
4414104,70.0
4424272,18.0
4435512,28.0
4446392,16.0
4457328,48.0
4467408,17.0
4477560,55.0
4488144,36.0
4499056,43.0
4509728,40.0
4520712,48.0
4530720,35.0
4541504,49.0
4552912,31.0
4563240,21.0
4574096,67.0
4584648,37.0
4596568,35.0
4607992,27.0
4618008,36.0
4629000,21.0
4639680,19.0
4649752,29.0
4660320,22.0
4670360,37.0
4682656,13.0
4692720,41.0
4704736,31.0
4715960,23.0
4726576,15.0
4736936,40.0
4747112,41.0
4757424,42.0
4768624,28.0
4779544,21.0
4790264,33.0
4800424,36.0
4810480,20.0
4820928,15.0
4831272,18.0
4844632,43.0
4854824,13.0
4865496,31.0
4875752,38.0
4887344,34.0
4897808,35.0
4909512,30.0
4919680,53.0
4931664,38.0
4943632,44.0
4953800,34.0
4964864,10.0
4976496,49.0
4986776,26.0
4997944,22.0
5008080,16.0
5019320,33.0
5030616,26.0
5041712,43.0
5052624,33.0
5063752,25.0
